"bound","drift","ter","eta_b","cost_ddm","cost_ldc","a0","b0","sub","condition","difflevel","manip","model","eta_a"
NA,NA,NA,670.3562,NA,0.00138,2.96377,1.26408,"100","minus","easy","alpha","beta",0
NA,NA,NA,670.3562,NA,0.00138,2.96377,1.26408,"100","minus","hard","alpha","beta",0
NA,NA,NA,670.3562,NA,0.00138,2.96377,1.26408,"100","minus","medium","alpha","beta",0
NA,NA,NA,670.3562,NA,0.00138,2.96377,1.26408,"100","plus","easy","alpha","beta",0
NA,NA,NA,670.3562,NA,0.00138,2.96377,1.26408,"100","plus","hard","alpha","beta",0
NA,NA,NA,670.3562,NA,0.00138,2.96377,1.26408,"100","plus","medium","alpha","beta",0
NA,NA,NA,627.497,NA,0.00127,2.77129,-27.61542,"101","minus","easy","alpha","beta",0
NA,NA,NA,627.497,NA,0.00127,2.77129,-27.61542,"101","minus","hard","alpha","beta",0
NA,NA,NA,627.497,NA,0.00127,2.77129,-27.61542,"101","minus","medium","alpha","beta",0
NA,NA,NA,627.497,NA,0.00127,2.77129,-27.61542,"101","plus","easy","alpha","beta",0
NA,NA,NA,627.497,NA,0.00127,2.77129,-27.61542,"101","plus","hard","alpha","beta",0
NA,NA,NA,627.497,NA,0.00127,2.77129,-27.61542,"101","plus","medium","alpha","beta",0
NA,NA,NA,700.9085,NA,0.00114,2.27958,-52.19287,"102","minus","easy","alpha","beta",0
NA,NA,NA,700.9085,NA,0.00114,2.27958,-52.19287,"102","minus","hard","alpha","beta",0
NA,NA,NA,700.9085,NA,0.00114,2.27958,-52.19287,"102","minus","medium","alpha","beta",0
NA,NA,NA,700.9085,NA,0.00114,2.27958,-52.19287,"102","plus","easy","alpha","beta",0
NA,NA,NA,700.9085,NA,0.00114,2.27958,-52.19287,"102","plus","hard","alpha","beta",0
NA,NA,NA,700.9085,NA,0.00114,2.27958,-52.19287,"102","plus","medium","alpha","beta",0
NA,NA,NA,634.9762,NA,0.00141,2.53239,-23.41088,"103","minus","easy","alpha","beta",0
NA,NA,NA,634.9762,NA,0.00141,2.53239,-23.41088,"103","minus","hard","alpha","beta",0
NA,NA,NA,634.9762,NA,0.00141,2.53239,-23.41088,"103","minus","medium","alpha","beta",0
NA,NA,NA,634.9762,NA,0.00141,2.53239,-23.41088,"103","plus","easy","alpha","beta",0
NA,NA,NA,634.9762,NA,0.00141,2.53239,-23.41088,"103","plus","hard","alpha","beta",0
NA,NA,NA,634.9762,NA,0.00141,2.53239,-23.41088,"103","plus","medium","alpha","beta",0
NA,NA,NA,651.0615,NA,0.00103,2.9152,-24.88245,"104","minus","easy","alpha","beta",0
NA,NA,NA,651.0615,NA,0.00103,2.9152,-24.88245,"104","minus","hard","alpha","beta",0
NA,NA,NA,651.0615,NA,0.00103,2.9152,-24.88245,"104","minus","medium","alpha","beta",0
NA,NA,NA,651.0615,NA,0.00103,2.9152,-24.88245,"104","plus","easy","alpha","beta",0
NA,NA,NA,651.0615,NA,0.00103,2.9152,-24.88245,"104","plus","hard","alpha","beta",0
NA,NA,NA,651.0615,NA,0.00103,2.9152,-24.88245,"104","plus","medium","alpha","beta",0
NA,NA,NA,698.2127,NA,0.00164,2.40036,47.94493,"105","minus","easy","alpha","beta",0
NA,NA,NA,698.2127,NA,0.00164,2.40036,47.94493,"105","minus","hard","alpha","beta",0
NA,NA,NA,698.2127,NA,0.00164,2.40036,47.94493,"105","minus","medium","alpha","beta",0
NA,NA,NA,698.2127,NA,0.00164,2.40036,47.94493,"105","plus","easy","alpha","beta",0
NA,NA,NA,698.2127,NA,0.00164,2.40036,47.94493,"105","plus","hard","alpha","beta",0
NA,NA,NA,698.2127,NA,0.00164,2.40036,47.94493,"105","plus","medium","alpha","beta",0
NA,NA,NA,669.3749,NA,0.00191,2.18584,2.05604,"106","minus","easy","alpha","beta",0
NA,NA,NA,669.3749,NA,0.00191,2.18584,2.05604,"106","minus","hard","alpha","beta",0
NA,NA,NA,669.3749,NA,0.00191,2.18584,2.05604,"106","minus","medium","alpha","beta",0
NA,NA,NA,669.3749,NA,0.00191,2.18584,2.05604,"106","plus","easy","alpha","beta",0
NA,NA,NA,669.3749,NA,0.00191,2.18584,2.05604,"106","plus","hard","alpha","beta",0
NA,NA,NA,669.3749,NA,0.00191,2.18584,2.05604,"106","plus","medium","alpha","beta",0
NA,NA,NA,623.4417,NA,0.00168,1.88159,-27.7247,"107","minus","easy","alpha","beta",0
NA,NA,NA,623.4417,NA,0.00168,1.88159,-27.7247,"107","minus","hard","alpha","beta",0
NA,NA,NA,623.4417,NA,0.00168,1.88159,-27.7247,"107","minus","medium","alpha","beta",0
NA,NA,NA,623.4417,NA,0.00168,1.88159,-27.7247,"107","plus","easy","alpha","beta",0
NA,NA,NA,623.4417,NA,0.00168,1.88159,-27.7247,"107","plus","hard","alpha","beta",0
NA,NA,NA,623.4417,NA,0.00168,1.88159,-27.7247,"107","plus","medium","alpha","beta",0
NA,NA,NA,622.6614,NA,0.00162,2.00783,25.84754,"108","minus","easy","alpha","beta",0
NA,NA,NA,622.6614,NA,0.00162,2.00783,25.84754,"108","minus","hard","alpha","beta",0
NA,NA,NA,622.6614,NA,0.00162,2.00783,25.84754,"108","minus","medium","alpha","beta",0
NA,NA,NA,622.6614,NA,0.00162,2.00783,25.84754,"108","plus","easy","alpha","beta",0
NA,NA,NA,622.6614,NA,0.00162,2.00783,25.84754,"108","plus","hard","alpha","beta",0
NA,NA,NA,622.6614,NA,0.00162,2.00783,25.84754,"108","plus","medium","alpha","beta",0
NA,NA,NA,643.6373,NA,0.00119,2.76931,-2.34486,"109","minus","easy","alpha","beta",0
NA,NA,NA,643.6373,NA,0.00119,2.76931,-2.34486,"109","minus","hard","alpha","beta",0
NA,NA,NA,643.6373,NA,0.00119,2.76931,-2.34486,"109","minus","medium","alpha","beta",0
NA,NA,NA,643.6373,NA,0.00119,2.76931,-2.34486,"109","plus","easy","alpha","beta",0
NA,NA,NA,643.6373,NA,0.00119,2.76931,-2.34486,"109","plus","hard","alpha","beta",0
NA,NA,NA,643.6373,NA,0.00119,2.76931,-2.34486,"109","plus","medium","alpha","beta",0
NA,NA,NA,771.7082,NA,0.00093,4.72803,35.81941,"110","minus","easy","alpha","beta",0
NA,NA,NA,771.7082,NA,0.00093,4.72803,35.81941,"110","minus","hard","alpha","beta",0
NA,NA,NA,771.7082,NA,0.00093,4.72803,35.81941,"110","minus","medium","alpha","beta",0
NA,NA,NA,771.7082,NA,0.00093,4.72803,35.81941,"110","plus","easy","alpha","beta",0
NA,NA,NA,771.7082,NA,0.00093,4.72803,35.81941,"110","plus","hard","alpha","beta",0
NA,NA,NA,771.7082,NA,0.00093,4.72803,35.81941,"110","plus","medium","alpha","beta",0
NA,NA,NA,635.958,NA,0.00134,1.46636,-14.12898,"111","minus","easy","alpha","beta",0
NA,NA,NA,635.958,NA,0.00134,1.46636,-14.12898,"111","minus","hard","alpha","beta",0
NA,NA,NA,635.958,NA,0.00134,1.46636,-14.12898,"111","minus","medium","alpha","beta",0
NA,NA,NA,635.958,NA,0.00134,1.46636,-14.12898,"111","plus","easy","alpha","beta",0
NA,NA,NA,635.958,NA,0.00134,1.46636,-14.12898,"111","plus","hard","alpha","beta",0
NA,NA,NA,635.958,NA,0.00134,1.46636,-14.12898,"111","plus","medium","alpha","beta",0
NA,NA,NA,578.3224,NA,0.00102,1.6053,10.6601,"112","minus","easy","alpha","beta",0
NA,NA,NA,578.3224,NA,0.00102,1.6053,10.6601,"112","minus","hard","alpha","beta",0
NA,NA,NA,578.3224,NA,0.00102,1.6053,10.6601,"112","minus","medium","alpha","beta",0
NA,NA,NA,578.3224,NA,0.00102,1.6053,10.6601,"112","plus","easy","alpha","beta",0
NA,NA,NA,578.3224,NA,0.00102,1.6053,10.6601,"112","plus","hard","alpha","beta",0
NA,NA,NA,578.3224,NA,0.00102,1.6053,10.6601,"112","plus","medium","alpha","beta",0
NA,NA,NA,726.4662,NA,0.00149,2.82145,13.40423,"113","minus","easy","alpha","beta",0
NA,NA,NA,726.4662,NA,0.00149,2.82145,13.40423,"113","minus","hard","alpha","beta",0
NA,NA,NA,726.4662,NA,0.00149,2.82145,13.40423,"113","minus","medium","alpha","beta",0
NA,NA,NA,726.4662,NA,0.00149,2.82145,13.40423,"113","plus","easy","alpha","beta",0
NA,NA,NA,726.4662,NA,0.00149,2.82145,13.40423,"113","plus","hard","alpha","beta",0
NA,NA,NA,726.4662,NA,0.00149,2.82145,13.40423,"113","plus","medium","alpha","beta",0
NA,NA,NA,632.2722,NA,0.0011,2.2272,23.92354,"115","minus","easy","alpha","beta",0
NA,NA,NA,632.2722,NA,0.0011,2.2272,23.92354,"115","minus","hard","alpha","beta",0
NA,NA,NA,632.2722,NA,0.0011,2.2272,23.92354,"115","minus","medium","alpha","beta",0
NA,NA,NA,632.2722,NA,0.0011,2.2272,23.92354,"115","plus","easy","alpha","beta",0
NA,NA,NA,632.2722,NA,0.0011,2.2272,23.92354,"115","plus","hard","alpha","beta",0
NA,NA,NA,632.2722,NA,0.0011,2.2272,23.92354,"115","plus","medium","alpha","beta",0
